DATE,SALES
2016-01,1120
2016-02,1820
2016-03,5850
2016-04,1595
2016-05,2800
2016-06,5845
2016-07,2704
2016-08,4685
2016-09,7550
2016-10,1650
2016-11,2300
2016-12,9725
2017-01,1650
2017-02,2550
2017-03,6200
2017-04,1840
2017-05,3350
2017-06,4550
2017-07,3105
2017-08,3800
2017-09,8095
2017-10,1970
2017-11,3555
2017-12,9335
2018-01,3375
2018-02,4485
2018-03,1002
2018-04,6150
2018-05,9220
2018-06,11362
2018-07,16775
2018-08,23175
2018-09,29975
2018-10,20325
2018-11,24600
2018-12,32600
2019-01,8000
2019-02,7275
2019-03,14625
2019-04,11925
2019-05,16350
2019-06,25700
2019-07,14750
2019-08,15225
2019-09,21875
2019-10,10900
2019-11,13400
2019-12,32225
2020-01,
2020-02,
2020-03,28400
2020-04,
2020-05,
2020-06,36800
2020-07,
2020-08,
2020-09,64000
2020-10,
2020-11,
2020-12,64000
